Protein	A1	A100	A108	A11	A118	A124	A125	A126	A139	A14	A146	A148	A155	A169	A170	A177	A181	A185	A208	A209	A215	A22	A220	A221	A253	A260	A262	A264	A269	A270	A275	A278	A279	A280	A281	A286	A287	A290	A296	A297	A298	A302	A304	A311	A313	A314	A317	A318	A319	A321	A324	A326	A328	A329	A331	A332	A335	A34	A343	A346	A347	A351	A353	A355	A359	A362	A363	A365	A367	A37	A377	A379	A381	A383	A384	A386	A388	A39	A393	A394	A395	A399	A402	A404	A405	A406	A407	A411	A412	A413	A414	A415	A417	A419	A422	A424	A425	A427	A428	A429	A432	A433	A436	A437	A438	A441	A442	A443	A444	A448	A450	A451	A452	A455	A456	A457	A458	A459	A461	A463	A468	A470	A471	A472	A473	A476	A478	A480	A484	A485	A493	A494	A496	A5	A502	A505	A506	A512	A518	A525	A527	A530	A535	A58	A62	A64	A69	A70	A75	A77	A85
O75460	16.57711899	16.61649141	17.65299198	17.41002894	17.00787043	16.80865001	16.77034127	17.00787043	16.92770853	15.65012616	17.75260932	17.24269963	16.72733552	16.46492858	16.68753972	17.24269963	17.28337779	15.96648292	14.12871935	16.57711899	16.72733552	15.88990793	16.80865001	16.72733552	17.36952919	17.32734212	17.19949023	14.83521156	16.80865001	15.14441926	15.96648292	17.08236738	17.41002894	17.19949023	17.12077449	17.00787043	17.28337779	17.08236738	16.89097671	17.57538413	16.96784541	17.12077449	17.28337779	16.89097671	17.49346458	16.57711899	16.13627023	17.08236738	17.32734212	17.41002894	14.48639511	16.46492858	15.51307987	16.89097671	17.19949023	17.65299198	17.00787043	16.24497697	17.45358413	16.89097671	14.99722359	14.00965369	16.57711899	17.36952919	17.19949023	15.51307987	16.80865001	17.08236738	17.28337779	17.24269963	14.19798453	16.65329295	16.72733552	17.49346458	17.41002894	17.68543321	17.28337779	16.89097671	17.68543321	16.57711899	16.20861541	17.00787043	17.24269963	17.65299198	17.12077449	15.92835644	17.65299198	16.89097671	17.36952919	16.92770853	16.61649141	16.46492858	16.72733552	16.77034127	16.72733552	16.85019905	17.12077449	17.15841246	17.00787043	14.54152016	17.28337779	17.49346458	17.00787043	17.28337779	16.53994636	16.57711899	16.61649141	15.92835644	16.89097671	16.65329295	16.68753972	16.92770853	17.00787043	16.92770853	16.17352099	15.30620413	16.20861541	17.15841246	17.15841246	17.15841246	17.00787043	14.07598046	16.77034127	16.80865001	16.92770853	17.15841246	16.13627023	17.82445537	16.61649141	17.61956088	17.08236738	17.15841246	16.68753972	16.96784541	17.28337779	17.04965714	17.00787043	15.0516338	17.00787043	17.41002894	17.08236738	17.15841246	15.0516338	17.41002894	16.96784541	16.3563488	16.89097671	17.28337779	16.65329295	17.08236738	17.19949023
O75636	18.44057723	17.71848605	18.08941427	18.51486042	17.75260932	18.1485163	18.29551785	18.11872314	18.03181426	18.05918072	18.00145218	17.90996338	18.47631507	17.57538413	19.03572002	18.26437845	18.41311965	18.29551785	17.97281155	18.3846868	18.03181426	18.61554343	17.12077449	18.00145218	18.77969371	18.74617969	18.05918072	17.15841246	18.41311965	18.08941427	17.82445537	18.00145218	18.3846868	18.92376851	18.03181426	17.32734212	18.64674854	18.8517094	18.54547358	18.20645161	18.00145218	18.35387478	18.00145218	19.36627739	18.47631507	17.71848605	18.88780071	18.67639444	18.11872314	18.1485163	18.00145218	17.75260932	17.32734212	17.93902818	18.44057723	18.3846868	18.05918072	17.57538413	18.7134335	16.72733552	18.05918072	18.8517094	18.32300197	18.32300197	17.61956088	18.11872314	18.18013255	18.08941427	18.35387478	18.20645161	19.61008043	18.20645161	18.1485163	17.75260932	18.44057723	18.44057723	17.49346458	17.61956088	18.7134335	18.26437845	17.85233443	17.61956088	18.05918072	18.88780071	18.03181426	18.23456486	18.47631507	18.23456486	18.05918072	18.88780071	19.03572002	17.71848605	18.58049045	17.87999598	18.41311965	18.08941427	18.32300197	18.88780071	16.61649141	18.54547358	18.44057723	17.68543321	18.54547358	18.88780071	17.87999598	19.03572002	18.44057723	17.71848605	17.57538413	17.87999598	18.23456486	18.32300197	18.44057723	17.97281155	18.64674854	17.93902818	18.35387478	17.93902818	18.26437845	17.79265051	18.29551785	17.68543321	17.36952919	18.20645161	18.05918072	17.93902818	17.53426488	18.44057723	17.61956088	18.11872314	18.3846868	17.79265051	17.71848605	17.36952919	17.53426488	18.03181426	17.82445537	17.75260932	17.75260932	17.90996338	17.79265051	17.75260932	17.85233443	17.75260932	18.05918072	18.44057723	17.82445537	17.45358413	17.75260932	17.85233443	17.71848605
O75882	18.23456486	17.87999598	17.75260932	18.3846868	17.82445537	17.85233443	18.26437845	17.53426488	17.71848605	18.03181426	17.82445537	17.75260932	18.29551785	17.68543321	18.20645161	17.90996338	18.32300197	17.61956088	18.20645161	18.11872314	18.05918072	17.53426488	17.41002894	17.93902818	17.93902818	17.82445537	17.93902818	18.47631507	17.75260932	18.61554343	17.87999598	17.75260932	17.71848605	17.85233443	17.57538413	17.90996338	17.93902818	18.05918072	17.87999598	18.11872314	17.75260932	17.97281155	17.85233443	18.11872314	17.97281155	17.75260932	17.71848605	18.29551785	18.03181426	17.65299198	18.20645161	17.68543321	17.97281155	17.71848605	17.93902818	17.75260932	17.57538413	17.45358413	17.61956088	17.45358413	17.82445537	18.20645161	17.82445537	17.82445537	17.75260932	17.68543321	18.03181426	17.61956088	17.82445537	17.61956088	18.61554343	17.12077449	17.71848605	17.36952919	17.24269963	18.11872314	17.85233443	17.65299198	17.97281155	18.08941427	17.65299198	18.05918072	17.68543321	18.08941427	18.11872314	17.79265051	18.18013255	18.26437845	18.1485163	18.03181426	18.44057723	18.05918072	17.85233443	17.45358413	17.71848605	17.90996338	18.11872314	17.36952919	17.97281155	17.79265051	17.82445537	17.82445537	17.57538413	17.57538413	17.57538413	17.97281155	17.75260932	17.82445537	18.05918072	17.61956088	17.82445537	17.61956088	17.90996338	17.65299198	18.44057723	17.49346458	18.29551785	17.79265051	17.65299198	17.00787043	17.68543321	17.36952919	17.97281155	17.68543321	17.75260932	17.24269963	17.79265051	18.08941427	17.53426488	18.05918072	17.79265051	17.82445537	17.90996338	17.61956088	17.61956088	17.71848605	17.71848605	18.03181426	17.68543321	18.08941427	17.82445537	17.71848605	18.20645161	17.82445537	17.85233443	17.79265051	17.75260932	18.23456486	17.87999598	17.68543321	17.82445537
O95445	19.67102096	20.0258614	19.57999352	20.20235344	19.76718872	19.91245082	20.06647947	19.83903767	19.83903767	20.11354252	19.52142024	19.79899223	19.79899223	19.39877917	19.95389945	19.42826202	19.98558626	19.70037537	20.69473025	20.15745796	19.10861379	19.57999352	18.03181426	19.91245082	19.39877917	19.33310293	19.36627739	20.11354252	19.61008043	20.34291888	20.43179241	19.33310293	18.67639444	19.91245082	19.55272538	19.30290439	20.15745796	19.33310293	19.49128748	19.36627739	19.57999352	19.70037537	19.07014978	19.63615905	19.17754606	19.52142024	19.63615905	20.20235344	20.06647947	19.57999352	20.15745796	20.11354252	20.56316554	19.91245082	19.63615905	19.79899223	19.00097103	19.76718872	18.77969371	19.83903767	20.06647947	19.67102096	19.30290439	19.10861379	19.26925455	19.98558626	19.95389945	19.63615905	19.36627739	19.79899223	20.56316554	19.87519889	19.95389945	19.17754606	19.10861379	20.20235344	19.79899223	19.76718872	19.61008043	20.11354252	20.25368593	19.70037537	19.17754606	19.63615905	20.06647947	19.98558626	19.67102096	19.95389945	19.61008043	19.61008043	19.57999352	19.63615905	20.11354252	19.67102096	19.73333315	20.30128965	20.25368593	20.30128965	20.0258614	19.26925455	19.52142024	19.67102096	19.42826202	20.34291888	19.73333315	20.11354252	19.39877917	19.73333315	20.34291888	19.70037537	19.87519889	19.76718872	19.83903767	19.79899223	20.43179241	19.36627739	19.76718872	19.61008043	19.83903767	19.87519889	19.67102096	19.39877917	19.95389945	19.55272538	19.67102096	19.73333315	19.87519889	19.79899223	19.87519889	19.73333315	19.67102096	19.73333315	19.83903767	19.79899223	19.63615905	19.83903767	19.70037537	19.36627739	19.79899223	19.55272538	19.70037537	19.83903767	20.15745796	19.73333315	19.91245082	19.67102096	19.67102096	19.98558626	19.83903767	19.67102096	19.87519889
P00450	23.15047897	23.54557645	23.54557645	23.54557645	23.63116329	23.63116329	23.69229315	23.75093776	23.63116329	23.54557645	23.44420494	23.5890045	23.75093776	23.54557645	23.36233234	23.08885939	23.92186173	23.63116329	24.28105232	23.63116329	23.54557645	23.69229315	24.36810749	23.44420494	23.92186173	23.36233234	23.75093776	23.36233234	23.69229315	23.69229315	23.80426822	23.32199001	22.77526385	23.32199001	23.63116329	23.63116329	23.5890045	24.80229503	24.04879757	23.20865797	23.54557645	23.75093776	23.49578087	23.44420494	23.11999814	23.32199001	23.54557645	24.17631029	23.75093776	23.75093776	23.54557645	23.24501949	23.63116329	23.69229315	23.75093776	23.85569735	23.32199001	23.5890045	23.5890045	23.20865797	23.11999814	23.44420494	23.92186173	22.68250238	23.85569735	23.44420494	23.40384928	23.5890045	23.54557645	23.36233234	22.74373591	23.80426822	23.20865797	23.49578087	23.06302504	23.98512438	23.75093776	23.69229315	23.85569735	23.44420494	23.36233234	23.5890045	23.44420494	24.10977894	23.28048704	23.80426822	23.92186173	23.36233234	23.54557645	23.85569735	24.04879757	23.36233234	23.75093776	24.10977894	23.80426822	24.28105232	23.44420494	23.92186173	24.17631029	23.28048704	23.5890045	23.63116329	22.96884764	23.80426822	23.28048704	23.24501949	23.54557645	23.28048704	23.49578087	23.75093776	24.32105547	23.63116329	23.80426822	23.32199001	23.63116329	23.69229315	23.80426822	23.40384928	23.75093776	23.54557645	23.5890045	23.85569735	23.36233234	23.75093776	23.63116329	23.5890045	23.54557645	23.75093776	23.5890045	23.80426822	23.40384928	23.75093776	24.04879757	23.75093776	23.32199001	23.5890045	23.69229315	23.49578087	23.75093776	23.80426822	23.63116329	23.69229315	24.23990825	23.49578087	23.5890045	23.44420494	23.75093776	23.80426822	23.85569735	23.75093776	23.54557645
P00734	21.38112625	21.44339787	21.69216553	21.57737719	21.79718377	21.48302306	21.52026474	21.50213691	21.44339787	21.50213691	21.50213691	21.77516657	21.17591436	20.96032724	21.44339787	21.55790537	22.05406272	21.77516657	21.42285525	21.46365208	20.98493296	21.46365208	21.44339787	21.53816714	21.46365208	21.91501826	21.73365009	21.42285525	21.42285525	21.50213691	21.60102762	21.60102762	21.77516657	21.55790537	21.75280774	21.50213691	21.48302306	21.77516657	21.69216553	21.79718377	21.66975359	22.17752721	21.60102762	21.62429615	21.55790537	21.75280774	21.57737719	22.20385399	21.69216553	21.86451792	20.82683086	21.64720368	21.0316265	21.57737719	21.44339787	21.7142342	20.93702677	21.55790537	21.38112625	21.44339787	21.53816714	21.7142342	21.32035105	21.57737719	21.42285525	21.20343464	21.66975359	21.27339951	21.55790537	21.27339951	21.53816714	21.48302306	21.69216553	21.60102762	21.46365208	21.75280774	21.57737719	21.91501826	21.91501826	21.50213691	21.62429615	21.48302306	21.42285525	21.75280774	21.62429615	21.57737719	21.55790537	21.75280774	21.81888756	21.46365208	21.36394383	21.44339787	21.86451792	21.62429615	21.73365009	21.25284731	21.34655377	21.57737719	22.0784108	21.34655377	21.64720368	21.62429615	21.48302306	21.25284731	21.32035105	21.9411877	21.53816714	21.50213691	21.29366304	21.52026474	21.36394383	21.50213691	21.20343464	21.46365208	21.75280774	21.69216553	21.62429615	21.50213691	21.53816714	21.46365208	21.64720368	21.57737719	21.52026474	21.27339951	21.55790537	21.69216553	21.44339787	21.46365208	21.27339951	21.77516657	21.9411877	21.62429615	21.44339787	21.77516657	21.75280774	21.44339787	21.29366304	21.48302306	21.42285525	21.73365009	21.7142342	21.7142342	21.46365208	21.62429615	21.46365208	21.00912606	21.46365208	21.69216553	21.55790537	21.86451792	21.75280774
P00738	23.92186173	23.40384928	23.98512438	24.28105232	23.85569735	23.32199001	23.85569735	23.85569735	23.92186173	22.74373591	24.41367331	24.10977894	24.32105547	23.92186173	23.36233234	24.28105232	24.53967906	22.89817641	24.99477298	23.03671962	24.04879757	23.20865797	23.69229315	23.75093776	24.53967906	23.75093776	23.98512438	22.83474397	23.85569735	24.80229503	22.74373591	24.41367331	23.92186173	24.32105547	24.23990825	24.28105232	23.98512438	23.85569735	23.75093776	23.75093776	24.36810749	23.92186173	24.36810749	24.17631029	23.69229315	23.49578087	22.44433551	24.17631029	24.36810749	23.98512438	24.41367331	23.85569735	23.40384928	23.85569735	24.47805142	25.11896942	23.49578087	23.36233234	24.17631029	23.36233234	22.39079741	24.99477298	24.23990825	24.28105232	24.80229503	22.80531052	23.5890045	23.75093776	24.36810749	24.23990825	24.47805142	23.80426822	23.54557645	24.28105232	23.98512438	24.10977894	23.98512438	24.10977894	24.66999709	23.98512438	23.15047897	24.28105232	25.23331653	24.90174157	24.04879757	22.74373591	24.41367331	23.92186173	23.80426822	24.66999709	24.41367331	23.20865797	23.32199001	23.75093776	23.49578087	23.75093776	24.66999709	24.66999709	23.49578087	21.22835251	24.04879757	24.32105547	23.54557645	24.66999709	23.54557645	23.75093776	23.17986172	23.06302504	24.04879757	23.63116329	23.32199001	23.75093776	24.28105232	23.80426822	23.32199001	23.69229315	23.15047897	23.75093776	23.85569735	23.69229315	23.92186173	23.32199001	23.85569735	23.85569735	23.75093776	23.5890045	24.04879757	24.99477298	23.85569735	24.10977894	23.85569735	24.04879757	23.75093776	23.85569735	23.63116329	23.75093776	23.85569735	24.04879757	23.75093776	24.28105232	23.98512438	23.85569735	22.02367721	23.85569735	24.04879757	24.53967906	23.92186173	24.04879757	23.98512438	23.85569735	23.85569735
P00739	20.30128965	19.76718872	20.73985064	20.77996056	20.25368593	19.36627739	19.1450689	20.20235344	20.20235344	19.63615905	19.61008043	20.43179241	20.34291888	19.46252224	20.82683086	20.30128965	20.51932527	19.91245082	21.00912606	20.91334306	19.57999352	20.51932527	20.76004499	20.4698286	20.96032724	19.79899223	20.15745796	20.15745796	20.11354252	20.60646576	20.38472368	19.95389945	20.60646576	20.77996056	20.51932527	20.43179241	19.61008043	20.60646576	20.4698286	20.15745796	20.93702677	20.60646576	19.52142024	20.60646576	20.65218326	19.83903767	20.43179241	20.82683086	20.38472368	20.11354252	19.70037537	20.84604354	20.69473025	20.34291888	20.77996056	20.56316554	20.69473025	19.67102096	19.03572002	20.69473025	19.76718872	20.34291888	20.73985064	20.96032724	19.10861379	20.69473025	20.77996056	20.30128965	20.34291888	21.17591436	20.0258614	20.43179241	20.51932527	20.4698286	19.63615905	21.14785952	20.4698286	20.20235344	20.15745796	20.77996056	20.34291888	20.34291888	20.20235344	20.86500448	21.07557838	20.15745796	20.60646576	21.22835251	19.83903767	20.06647947	19.30290439	19.87519889	19.98558626	20.56316554	19.91245082	21.12267889	21.09705093	21.75280774	21.05378141	19.03572002	19.20774122	20.51932527	20.25368593	21.81888756	20.38472368	20.91334306	19.67102096	20.34291888	20.0258614	19.98558626	20.4698286	19.95389945	20.34291888	20.06647947	20.65218326	20.4698286	20.20235344	20.06647947	20.20235344	20.06647947	19.91245082	19.87519889	19.55272538	19.73333315	20.43179241	20.06647947	19.83903767	20.82683086	19.83903767	20.34291888	20.11354252	20.15745796	20.56316554	20.0258614	20.11354252	20.11354252	19.98558626	20.15745796	19.98558626	20.25368593	20.15745796	19.95389945	20.34291888	20.11354252	20.60646576	20.51932527	20.30128965	20.96032724	20.15745796	20.34291888	19.98558626
P00740	17.79265051	17.36952919	17.36952919	17.79265051	17.45358413	17.65299198	17.53426488	17.28337779	17.53426488	17.65299198	17.87999598	17.61956088	17.63636972	17.41002894	17.82445537	17.57538413	17.90996338	17.45358413	18.05918072	17.65299198	17.79265051	17.61956088	17.24269963	17.75260932	17.97281155	17.75260932	17.75260932	18.08941427	17.61956088	17.61956088	17.32734212	17.93902818	17.32734212	17.32734212	17.36952919	17.71848605	17.75260932	18.23456486	17.68543321	17.79265051	17.68543321	17.57538413	18.1485163	17.82445537	17.15841246	16.96784541	17.53426488	17.87999598	17.53426488	17.53426488	17.57538413	17.15841246	17.57538413	17.57538413	17.75260932	17.79265051	17.15841246	17.41002894	17.79265051	16.92770853	17.49346458	18.35387478	17.53426488	17.32734212	17.08236738	17.36952919	17.71848605	17.12077449	18.23456486	17.45358413	18.3846868	17.28337779	17.68543321	17.32734212	17.15841246	17.65299198	17.61956088	17.49346458	17.93902818	17.68543321	17.61956088	17.68543321	17.82445537	17.87999598	17.61956088	17.61956088	17.90996338	17.41002894	17.75260932	18.35387478	18.35387478	17.68543321	17.53426488	17.19949023	17.68543321	17.41002894	17.68543321	18.18013255	17.53426488	17.45358413	17.41002894	17.71848605	17.45358413	17.90996338	17.15841246	17.87999598	17.49346458	17.49346458	17.45358413	17.08236738	17.85233443	17.68543321	17.45358413	17.41002894	17.97281155	16.32374089	18.08941427	17.68543321	17.41002894	17.41002894	17.49346458	17.00787043	17.53426488	17.49346458	17.45358413	17.36952919	17.71848605	17.65299198	17.45358413	17.79265051	17.61956088	17.49346458	17.75260932	17.45358413	17.49346458	17.49346458	17.49346458	17.85233443	17.24269963	17.82445537	17.53426488	17.57538413	17.82445537	17.85233443	17.57538413	17.82445537	17.61956088	17.90996338	17.61956088	17.36952919	17.68543321
P00742	18.35387478	17.93902818	18.44057723	18.8517094	18.44057723	18.44057723	18.18013255	18.35387478	18.44057723	18.51486042	18.47631507	18.51486042	18.08941427	18.00145218	18.92376851	18.81662433	18.64674854	18.11872314	18.92376851	18.41311965	17.75260932	18.20645161	18.1485163	18.20645161	18.35387478	18.44057723	18.54547358	18.9625854	18.1485163	18.51486042	18.20645161	18.41311965	18.23456486	18.67639444	18.44057723	18.29551785	18.88780071	18.9625854	18.3846868	18.58049045	18.18013255	18.41311965	18.18013255	18.67639444	18.35387478	18.20645161	18.81662433	18.35387478	18.44057723	18.47631507	18.41311965	18.32300197	18.35387478	18.51486042	18.47631507	18.8517094	17.85233443	18.32300197	18.05918072	17.97281155	18.3846868	19.00097103	18.20645161	18.20645161	18.74617969	18.18013255	18.54547358	18.05918072	18.44057723	18.26437845	19.23941906	18.35387478	18.11872314	18.11872314	17.93902818	18.61554343	18.74617969	18.41311965	18.74617969	18.8517094	18.61554343	18.35387478	18.29551785	18.35387478	18.58049045	18.58049045	18.7134335	18.74617969	18.35387478	18.8517094	18.64674854	18.08941427	18.32300197	18.47631507	18.64674854	18.61554343	18.61554343	18.64674854	18.67639444	17.90996338	18.51486042	18.23456486	18.1485163	18.7134335	17.93902818	19.10861379	18.61554343	18.35387478	18.54547358	18.29551785	18.77969371	18.23456486	18.41311965	18.20645161	18.92376851	18.26437845	18.67639444	18.1485163	18.32300197	18.29551785	18.23456486	18.1485163	18.23456486	18.29551785	18.08941427	18.35387478	18.26437845	18.58049045	18.32300197	18.64674854	18.29551785	18.32300197	18.61554343	18.29551785	18.35387478	18.23456486	18.3846868	18.00145218	18.11872314	18.64674854	18.35387478	18.29551785	18.54547358	18.58049045	18.35387478	18.67639444	18.3846868	18.61554343	18.41311965	18.51486042	18.26437845
P00746	17.28337779	16.92770853	16.61649141	17.68543321	16.68753972	16.46492858	16.57711899	16.53994636	16.89097671	15.88990793	16.50183718	16.92770853	17.36952919	16.96784541	16.13627023	16.57711899	16.92770853	16.53994636	17.08236738	17.28337779	17.12077449	16.61649141	16.17352099	17.36952919	16.24497697	16.65329295	16.53994636	17.12077449	17.41002894	15.26832268	16.53994636	16.85019905	16.89097671	16.92770853	16.50183718	15.73269742	16.85019905	15.73269742	16.0046155	17.32734212	16.89097671	16.13627023	16.92770853	16.92770853	16.42693627	17.32734212	15.81338039	17.85233443	17.04965714	16.50183718	16.65329295	16.89097671	17.08236738	16.65329295	17.36952919	16.39063921	16.17352099	16.50183718	17.04965714	16.61649141	16.92770853	17.93902818	17.19949023	16.96784541	18.11872314	16.77034127	16.17352099	17.45358413	16.13627023	17.04965714	17.65299198	16.57711899	16.96784541	17.08236738	15.96648292	16.61649141	17.00787043	16.65329295	17.12077449	16.89097671	16.80865001	16.65329295	17.12077449	17.08236738	16.72733552	16.283848	17.93902818	16.85019905	16.89097671	18.05918072	16.85019905	17.61956088	16.80865001	15.92835644	16.92770853	16.77034127	16.77034127	16.46492858	16.39063921	17.08236738	16.50183718	16.65329295	16.89097671	16.17352099	16.72733552	16.85019905	16.89097671	16.57711899	16.57711899	16.50183718	16.0046155	16.85019905	17.24269963	16.57711899	17.00787043	16.39063921	17.57538413	16.61649141	16.53994636	16.65329295	16.68753972	16.283848	16.96784541	16.57711899	16.57711899	16.68753972	17.04965714	17.28337779	16.96784541	16.3563488	16.32374089	16.68753972	16.80865001	16.72733552	16.3563488	16.61649141	16.65329295	17.28337779	16.65329295	16.24497697	16.61649141	16.68753972	17.57538413	16.77034127	16.72733552	17.12077449	16.50183718	17.00787043	16.57711899	16.80865001	16.80865001
P00747	21.91501826	21.79718377	21.60102762	22.24568036	21.91501826	21.88836534	22.0784108	21.9411877	21.9411877	22.02367721	22.41781467	21.99263793	22.12673535	22.05406272	21.75280774	22.17752721	22.39079741	22.46932111	22.46932111	21.99263793	21.84026967	22.05406272	22.10235476	21.96714216	22.20385399	21.81888756	22.27374951	22.4938811	22.0784108	22.0784108	22.15071075	22.17752721	21.48302306	22.24568036	22.22491875	22.3244712	22.02367721	22.3244712	22.56753186	21.79718377	21.96714216	22.27374951	22.22491875	22.22491875	21.42285525	22.51717581	21.77516657	21.81888756	22.10235476	21.60102762	22.0784108	21.9411877	22.3244712	22.10235476	22.54010036	22.27374951	22.0784108	22.30128295	22.12673535	22.12673535	22.20385399	22.56753186	22.3244712	21.88836534	21.91501826	21.91501826	22.4938811	21.7142342	22.15071075	21.96714216	22.56753186	21.99263793	21.86451792	21.96714216	21.64720368	22.34729236	21.99263793	21.91501826	22.0784108	22.39079741	22.12673535	21.9411877	22.02367721	22.15071075	21.91501826	22.05406272	22.02367721	22.12673535	21.9411877	22.39079741	22.54010036	22.36920887	21.42285525	22.56753186	22.4938811	22.0784108	21.53816714	22.5944515	22.34729236	21.66975359	21.81888756	22.10235476	21.88836534	22.54010036	21.88836534	22.3244712	22.05406272	22.65290623	21.55790537	21.88836534	22.3244712	21.86451792	21.99263793	21.86451792	22.34729236	22.0784108	22.10235476	21.66975359	21.96714216	21.46365208	21.96714216	22.05406272	21.64720368	21.9411877	21.96714216	21.53816714	21.79718377	21.69216553	21.79718377	21.77516657	22.17752721	21.62429615	22.30128295	21.88836534	21.46365208	21.99263793	21.79718377	22.05406272	21.79718377	21.60102762	21.60102762	21.9411877	22.34729236	21.86451792	21.91501826	22.20385399	22.02367721	22.22491875	22.02367721	21.86451792	21.91501826
P00748	19.98558626	19.33310293	19.79899223	19.63615905	19.63615905	19.55272538	19.67102096	19.73333315	19.79899223	19.73333315	19.98558626	19.67102096	20.15745796	19.61008043	20.11354252	18.41311965	20.30128965	20.38472368	20.60646576	19.87519889	19.79899223	20.11354252	19.73333315	19.98558626	19.52142024	19.61008043	20.20235344	19.79899223	18.54547358	19.91245082	19.73333315	19.91245082	18.20645161	20.06647947	19.20774122	18.9625854	19.70037537	20.15745796	20.20235344	19.79899223	19.67102096	20.11354252	19.36627739	19.87519889	18.18013255	19.95389945	19.73333315	19.61008043	19.95389945	19.49128748	18.18013255	19.98558626	19.87519889	19.87519889	20.0258614	19.95389945	19.33310293	19.73333315	19.10861379	19.63615905	20.25368593	20.15745796	19.36627739	19.79899223	18.9625854	19.46252224	20.20235344	19.17754606	19.91245082	19.33310293	19.83903767	19.70037537	19.79899223	19.03572002	19.83903767	19.83903767	19.30290439	19.73333315	20.06647947	20.25368593	20.30128965	18.41311965	19.76718872	20.0258614	20.0258614	19.76718872	19.39877917	20.15745796	19.76718872	20.20235344	20.11354252	19.83903767	19.20774122	20.15745796	19.63615905	20.20235344	19.87519889	19.70037537	20.65218326	19.20774122	19.67102096	19.30290439	19.10861379	19.67102096	18.77969371	20.69473025	19.61008043	19.23941906	19.87519889	19.83903767	20.25368593	19.70037537	20.06647947	19.67102096	19.57999352	19.61008043	19.95389945	19.79899223	19.79899223	19.63615905	19.76718872	20.0258614	19.26925455	19.61008043	19.63615905	19.79899223	19.67102096	19.57999352	19.55272538	19.70037537	18.8517094	19.70037537	19.67102096	19.63615905	19.46252224	19.79899223	19.57999352	19.87519889	19.61008043	19.76718872	19.73333315	19.70037537	19.61008043	19.83903767	19.73333315	19.49128748	19.79899223	20.25368593	19.91245082	19.76718872	19.67102096
P00751	22.39079741	22.51717581	22.36920887	22.44433551	22.39079741	22.39079741	22.80531052	22.39079741	22.65290623	22.86680878	22.89817641	22.46932111	23.20865797	22.51717581	22.22491875	22.30128295	22.77526385	22.46932111	22.68250238	22.74373591	22.68250238	22.89817641	22.5944515	22.68250238	23.00318264	22.44433551	23.00318264	22.30128295	22.5944515	22.93394471	22.15071075	22.44433551	21.86451792	22.12673535	22.86680878	22.71150356	22.44433551	23.00318264	22.56753186	22.3244712	22.62397479	22.74373591	22.83474397	22.54010036	21.91501826	22.62397479	22.3244712	22.46932111	22.54010036	22.93394471	22.4938811	22.36920887	22.44433551	22.5944515	22.80531052	23.06302504	22.86680878	22.4938811	23.08885939	22.12673535	21.86451792	23.06302504	23.00318264	22.24568036	22.36920887	21.91501826	22.4938811	22.17752721	22.71150356	22.56753186	22.74373591	22.56753186	22.12673535	22.51717581	22.30128295	22.96884764	22.34729236	22.44433551	23.00318264	22.51717581	22.12673535	22.5944515	22.80531052	23.08885939	22.77526385	22.22491875	22.74373591	22.12673535	23.00318264	22.93394471	23.00318264	22.44433551	22.44433551	22.56753186	22.4938811	22.46932111	22.46932111	22.77526385	22.4938811	22.30128295	22.5944515	22.62397479	22.10235476	22.5944515	22.3244712	22.51717581	22.4938811	22.4938811	22.24568036	22.4938811	22.5944515	22.36920887	22.5944515	22.15071075	23.06302504	22.4938811	22.54010036	22.5944515	22.46932111	22.34729236	22.39079741	22.54010036	22.4938811	22.44433551	22.51717581	22.27374951	22.34729236	22.5944515	22.30128295	22.62397479	22.3244712	22.51717581	22.68250238	22.44433551	22.36920887	22.36920887	22.4938811	22.65290623	22.41781467	22.54010036	22.56753186	22.56753186	22.17752721	22.51717581	22.4938811	22.62397479	22.62397479	22.89817641	22.65290623	22.41781467	22.44433551
